dataset,instancia,n,R,archivo
caso-random,RANDOM-76,76,152,instancias/caso-random/RANDOM-76.txt
caso-random,RANDOM-77,77,154,instancias/caso-random/RANDOM-77.txt
caso-random,RANDOM-78,78,156,instancias/caso-random/RANDOM-78.txt
caso-random,RANDOM-79,79,158,instancias/caso-random/RANDOM-79.txt
caso-random,RANDOM-80,80,160,instancias/caso-random/RANDOM-80.txt
caso-random,RANDOM-81,81,162,instancias/caso-random/RANDOM-81.txt
caso-random,RANDOM-82,82,164,instancias/caso-random/RANDOM-82.txt
caso-random,RANDOM-83,83,166,instancias/caso-random/RANDOM-83.txt
caso-random,RANDOM-84,84,168,instancias/caso-random/RANDOM-84.txt
caso-random,RANDOM-85,85,170,instancias/caso-random/RANDOM-85.txt
caso-random,RANDOM-86,86,172,instancias/caso-random/RANDOM-86.txt
caso-random,RANDOM-87,87,174,instancias/caso-random/RANDOM-87.txt
caso-random,RANDOM-88,88,176,instancias/caso-random/RANDOM-88.txt
caso-random,RANDOM-89,89,178,instancias/caso-random/RANDOM-89.txt
caso-random,RANDOM-90,90,180,instancias/caso-random/RANDOM-90.txt
caso-random,RANDOM-91,91,182,instancias/caso-random/RANDOM-91.txt
caso-random,RANDOM-92,92,184,instancias/caso-random/RANDOM-92.txt
caso-random,RANDOM-93,93,186,instancias/caso-random/RANDOM-93.txt
caso-random,RANDOM-94,94,188,instancias/caso-random/RANDOM-94.txt
caso-random,RANDOM-95,95,190,instancias/caso-random/RANDOM-95.txt
caso-random,RANDOM-96,96,192,instancias/caso-random/RANDOM-96.txt
caso-random,RANDOM-97,97,194,instancias/caso-random/RANDOM-97.txt
caso-random,RANDOM-98,98,196,instancias/caso-random/RANDOM-98.txt
caso-random,RANDOM-99,99,198,instancias/caso-random/RANDOM-99.txt
